tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,day,hour,minute,during_fire,is-fire-related,text_nourl,key_score,from_locations,sent,clusters
366.0,"Paradise, CA",1.06e+18,"::paradise baby:: meet jd, the grandson of my good friend, julie rems smario of @julierems julie’s son is a firefighter and has been fighting the #campfire at paradise since nov 8th. her… https://www.instagram.com/p/bqp3zf3hljo/?utm_source=ig_twitter_share&amp;igshid=q22x7cwyd6xy",2018-11-16 16:31:06+00:00,#campfire,trekcass,@JulieRems,0,0,https://twitter.com/trekcass/status/1063469521145655297,16,16,31,1,1,"::paradise baby:: meet JD, the grandson of my good friend, Julie Rems Smario of @JulieRems Julie’s son is a firefighter and has been fighting the #campfire at Paradise since Nov 8th. Her… ",2,"Paradise, CA",1.0,0
700.0,"Paradise, CA",1.06e+18,"¡coño! #campfire @chico, california https://www.instagram.com/p/bp-kagug3ji/?utm_source=ig_twitter_share&amp;igshid=1ud5lfs0zsfub",2018-11-09 19:29:06+00:00,#CampFire,VXO,,0,0,https://twitter.com/VXO/status/1060977601840377857,9,19,29,1,1,"¡Coño! #CampFire @Chico, California ",1,"Chico, CA",1.0,0
53.0,"Paradise, CA",1.07e+18,.@stucam7771 nailed it! the man in the white house is an evil genius moron. evil = racist genius = plays the media masterfully moron = says stuff like finland doesn't have forest fires… https://www.instagram.com/p/bqj7qzthvko/?utm_source=ig_twitter_share&amp;igshid=12c2v7oe5vjbn,2018-11-24 11:29:40+00:00,,XLComedy,@stucam7771,1,0,https://twitter.com/XLComedy/status/1066292766517321728,24,11,29,1,1,.@Stucam7771 nailed it! The man in the White House is an evil genius moron. Evil = racist Genius = plays the media masterfully Moron = says stuff like Finland doesn't have forest fires… ,1,"Paradise, CA",1.0,0
429.0,"Paradise, CA",1.06e+18,"“and the peace of god, which transcends all understanding, will guard your hearts and your minds in christ jesus.” philippians 4:7 niv #firefighter #calfire #firstresponders… https://www.instagram.com/p/bqlq1xmfyy5/?utm_source=ig_twitter_share&amp;igshid=o8am3qg5wndy",2018-11-15 01:20:54+00:00,#firefighter #calfire #firstresponders,AaronComfortDog,,1,0,https://twitter.com/AaronComfortDog/status/1062878073543122944,15,1,20,1,1,"“And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.” Philippians 4:7 NIV #firefighter #calfire #firstresponders… ",2,"Chico, CA",1.0,0
185.0,"Paradise, CA",1.07e+18,"“from the ashes, a fire shall be woken, a light from the shadows shall spring…” — j.r.r. tolkien wayne and i drove up just to the edge of the ashes and seeing lone horses… https://www.instagram.com/marcellarenai/p/bqa53tahdqe/?utm_source=ig_twitter_share&amp;igshid=1f2wikhlhyst5",2018-11-20 23:28:54+00:00,,Marcella_renai,,0,0,https://twitter.com/Marcella_renai/status/1065024214061731841,20,23,28,1,1,"“From the ashes, a fire shall be woken, A light from the shadows shall spring…” — J.R.R. Tolkien Wayne and i drove up just to the edge of the ashes and seeing lone horses… ",1,"Chico, CA",1.0,0
118.0,"Paradise, CA",1.07e+18,"“i can do all this through him who gives me strength.” philippians 4:13 #buttecounty #firefighter #calfire #campfire2018 #strength #hope #love #faith #jesuschrist @chico, california https://www.instagram.com/p/bqfpavzf9x7/?utm_source=ig_twitter_share&amp;igshid=ci4093zz6x97",2018-11-22 15:42:34+00:00,#buttecounty #firefighter #calfire #campfire2018 #strength #hope #love #faith #jesuschrist,AaronComfortDog,,0,0,https://twitter.com/AaronComfortDog/status/1065631634869927937,22,15,42,1,1,"“I can do all this through him who gives me strength.” Philippians 4:13 #buttecounty #firefighter #calfire #campfire2018 #strength #hope #love #faith #jesuschrist @Chico, California ",3,"Chico, CA",1.0,0
313.0,"Paradise, CA",1.06e+18,“paradise lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...i will be posting photo archives that i still have...the fire took… https://www.instagram.com/p/bqt4ftslwjd/?utm_source=ig_twitter_share&amp;igshid=irywss0s3sx7,2018-11-18 05:54:06+00:00,,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1064033991261544449,18,5,54,1,1,“Paradise Lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...I will be posting photo archives that I still have...the fire took… ,2,"Paradise, CA",0.0,1
312.0,"Paradise, CA",1.06e+18,“paradise lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...i will be posting photo archives that i still have...the fire took… https://www.instagram.com/p/bqt4tsgfoke/?utm_source=ig_twitter_share&amp;igshid=hwigeom3ee45,2018-11-18 05:56:00+00:00,,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1064034466580983808,18,5,56,1,1,“Paradise Lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...I will be posting photo archives that I still have...the fire took… ,2,"Paradise, CA",0.0,1
311.0,"Paradise, CA",1.06e+18,“paradise lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...i will be posting photo archives that i still have...the fire took… https://www.instagram.com/p/bqt42irfdmq/?utm_source=ig_twitter_share&amp;igshid=m2ijbdqonm3z,2018-11-18 05:57:14+00:00,,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1064034776858968064,18,5,57,1,1,“Paradise Lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...I will be posting photo archives that I still have...the fire took… ,2,"Paradise, CA",0.0,1
309.0,"Paradise, CA",1.06e+18,“paradise lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...i will be posting photo archives that i still have...the fire took… https://www.instagram.com/p/bqt5hdilcmz/?utm_source=ig_twitter_share&amp;igshid=3svr2bo3npdf,2018-11-18 06:03:03+00:00,,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1064036240348069888,18,6,3,1,1,“Paradise Lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...I will be posting photo archives that I still have...the fire took… ,2,"Paradise, CA",0.0,1
308.0,"Paradise, CA",1.06e+18,“paradise lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...i will be posting photo archives that i still have...the fire took… https://www.instagram.com/p/bqt5f9klxin/?utm_source=ig_twitter_share&amp;igshid=nftb01cwhyf3,2018-11-18 06:03:16+00:00,,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1064036298162401280,18,6,3,1,1,“Paradise Lost”... we will never forget what the fire took away...hoping that some day we could return to see it again ...I will be posting photo archives that I still have...the fire took… ,2,"Paradise, CA",0.0,1
