tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,key_score,text_nourl
6006,Sacramento,1059959242336145408,"Vote for our future because they are Hopeful for what’s to come. @Fair Oaks, California https://www.instagram.com/p/Bp2MN-iHb-R/?utm_source=ig_twitter_share&amp;igshid=1ovil66agh1m3",2018-11-07 00:02:31+00:00,,legallylendy,,0,0,https://twitter.com/legallylendy/status/1059959242336145408,0,"Vote for our future because they are Hopeful for what’s to come. @Fair Oaks, California "
6005,Sacramento,1059959881237782528,"I grew up in a family that celebrated the privilege of voting. I don’t want to ever take any of it for granted. I’m grateful for this messy, complicated and important freedom we were… https://www.instagram.com/p/Bp27zHBArg0/?utm_source=ig_twitter_share&amp;igshid=x99ebs22pd0e",2018-11-07 00:05:03+00:00,,jillmansfield_,,0,0,https://twitter.com/jillmansfield_/status/1059959881237782528,0,"I grew up in a family that celebrated the privilege of voting. I don’t want to ever take any of it for granted. I’m grateful for this messy, complicated and important freedom we were… "
6004,Sacramento,1059960170313342978,"Getting ready for our ""Bubbles and Bling"" event that is this Thursday, Friday & Saturday! Are you excited to come and play? @DJ's Jewelry https://www.instagram.com/p/Bp27zqZD0YL/?utm_source=ig_twitter_share&amp;igshid=lcj9f0c6wtlo",2018-11-07 00:06:12+00:00,,DJsJewelry,,0,0,https://twitter.com/DJsJewelry/status/1059960170313342978,0,"Getting ready for our ""Bubbles and Bling"" event that is this Thursday, Friday & Saturday! Are you excited to come and play? @DJ's Jewelry "
901,Butte County,1059960216891080704,VOTE do it for the future . . . . . #pmgridchallenge #instatravel #love #wanderlust #instagood #picoftheday #instadaily #flyinghorsedesigncom #naturephotography #instagram #photographer… https://www.instagram.com/p/Bp27844lFzH/?utm_source=ig_twitter_share&amp;igshid=uow8pc64v2yq,2018-11-07 00:06:23+00:00,#pmgridchallenge #instatravel #love #wanderlust #instagood #picoftheday #instadaily #flyinghorsedesigncom #naturephotography #instagram #photographer,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1059960216891080704,0,VOTE do it for the future . . . . . #pmgridchallenge #instatravel #love #wanderlust #instagood #picoftheday #instadaily #flyinghorsedesigncom #naturephotography #instagram #photographer… 
6003,Sacramento,1059960413637500928,#ivotedtoday #vote #voteelkgrove #waveofchange @Barbara Morse Wackford Community &amp; Aquatic Complex https://www.instagram.com/p/Bp275jAFXUW/?utm_source=ig_twitter_share&amp;igshid=39ojbotssj4v,2018-11-07 00:07:10+00:00,#ivotedtoday #vote #voteelkgrove #waveofchange,karif304,,0,0,https://twitter.com/karif304/status/1059960413637500928,0,#ivotedtoday #vote #voteelkgrove #waveofchange @Barbara Morse Wackford Community &amp; Aquatic Complex 
809,"Chico, CA",1059960478284374017,VOTE do it for the future . . . . . #pmgridchallenge #instatravel #love #wanderlust #instagood #picoftheday #instadaily #flyinghorsedesigncom #naturephotography #instagram… https://www.instagram.com/p/Bp28Eqll85M/?utm_source=ig_twitter_share&amp;igshid=1a9nxscz7vcw5,2018-11-07 00:07:25+00:00,#pmgridchallenge #instatravel #love #wanderlust #instagood #picoftheday #instadaily #flyinghorsedesigncom #naturephotography #instagram,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1059960478284374017,0,VOTE do it for the future . . . . . #pmgridchallenge #instatravel #love #wanderlust #instagood #picoftheday #instadaily #flyinghorsedesigncom #naturephotography #instagram… 
6002,Sacramento,1059960495917142016,"Although I don't have high hopes for this movie, giving it a shot tonight anyway #thegrinch2018, #thegrinch, #thegrinchmovie, #animated, #illuminationentertainment, #remake,… https://www.instagram.com/p/Bp28FaDHl5V/?utm_source=ig_twitter_share&amp;igshid=1wf54kzv1ogxg",2018-11-07 00:07:29+00:00,#thegrinch2018 #thegrinch #thegrinchmovie #animated #illuminationentertainment #remake,movyseeker31,,0,0,https://twitter.com/movyseeker31/status/1059960495917142016,0,"Although I don't have high hopes for this movie, giving it a shot tonight anyway #thegrinch2018, #thegrinch, #thegrinchmovie, #animated, #illuminationentertainment, #remake,… "
6001,Sacramento,1059960679770308610,"Disabled vehicle, right lane blocked on I 5 NB before Garden Hwy, stop and go traffic back to Sutterville Rd, delay of 12 mins #traffic",2018-11-07 00:08:13+00:00,#traffic,TotalTrafficSMF,,0,0,https://twitter.com/TotalTrafficSMF/status/1059960679770308610,0,"Disabled vehicle, right lane blocked on I 5 NB before Garden Hwy, stop and go traffic back to Sutterville Rd, delay of 12 mins #traffic"
808,"Chico, CA",1059960690952286208,VOTE do it for the future . . . . . #pmgridchallenge #instatravel #love #wanderlust #instagood #picoftheday #instadaily #flyinghorsedesigncom #naturephotography #instagram… https://www.instagram.com/p/Bp28LB8lTCn/?utm_source=ig_twitter_share&amp;igshid=16bvfpdu6mept,2018-11-07 00:08:16+00:00,#pmgridchallenge #instatravel #love #wanderlust #instagood #picoftheday #instadaily #flyinghorsedesigncom #naturephotography #instagram,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1059960690952286208,0,VOTE do it for the future . . . . . #pmgridchallenge #instatravel #love #wanderlust #instagood #picoftheday #instadaily #flyinghorsedesigncom #naturephotography #instagram… 
6000,Sacramento,1059960826642292736,"Accident, shoulder blocked on I 5 SB before Florin Rd, stop and go traffic back to I 80, delay of 24 mins #traffic http://bit.ly/Y31VAF",2018-11-07 00:08:48+00:00,#traffic,TotalTrafficSMF,,0,0,https://twitter.com/TotalTrafficSMF/status/1059960826642292736,0,"Accident, shoulder blocked on I 5 SB before Florin Rd, stop and go traffic back to I 80, delay of 24 mins #traffic "
5999,Sacramento,1059961319816863749,"#Voted. @Sacramento, California https://www.instagram.com/p/Bp28dHZhXrsAAq4U8mssJuxFdYp5PicBNKXGgo0/?utm_source=ig_twitter_share&amp;igshid=7l1rb9u5sqwv",2018-11-07 00:10:46+00:00,#Voted,valkayec,,0,0,https://twitter.com/valkayec/status/1059961319816863749,0,"#Voted. @Sacramento, California "
5998,Sacramento,1059961358798766081,"Cheering on the @kcranews team for 2018 Midterm Election Coverage!! I was ""general assignment reporter"" today. Please, please #getoutandvote Remember: ""Voting… https://www.instagram.com/p/Bp28ea2npAmehWxzCrWAW7Muu52402eLv--IGE0/?utm_source=ig_twitter_share&amp;igshid=1550cj4e2epm9",2018-11-07 00:10:55+00:00,#getoutandvote,TPalamidessi,@kcranews,0,0,https://twitter.com/TPalamidessi/status/1059961358798766081,0,"Cheering on the @kcranews team for 2018 Midterm Election Coverage!! I was ""general assignment reporter"" today. Please, please #getoutandvote Remember: ""Voting… "
5997,Sacramento,1059961575518330880,"#NewMusic @otmpheezy - ""Up Now"" Produced by Paupa out now on sound cloud &amp; YouTube. Link in his bio #otmpheezy #otmrecords #upnow #NewMusic #Youtube #soundcloud #listen #support #rap… https://www.instagram.com/p/Bp28iksnG0u/?utm_source=ig_twitter_share&amp;igshid=1oklulqc53xa",2018-11-07 00:11:47+00:00,#NewMusic #otmpheezy #otmrecords #upnow #NewMusic #Youtube #soundcloud #listen #support #rap,MszLisaLisa,,0,0,https://twitter.com/MszLisaLisa/status/1059961575518330880,0,"#NewMusic @otmpheezy - ""Up Now"" Produced by Paupa out now on sound cloud &amp; YouTube. Link in his bio #otmpheezy #otmrecords #upnow #NewMusic #Youtube #soundcloud #listen #support #rap… "
5996,Sacramento,1059961706372157440,Just posted a photo @Carmichael Public Library https://www.instagram.com/p/Bp2z9K8jbwP/?utm_source=ig_twitter_share&amp;igshid=17i28hvc37now,2018-11-07 00:12:18+00:00,,m3_creative,,0,0,https://twitter.com/m3_creative/status/1059961706372157440,0,Just posted a photo @Carmichael Public Library 
5995,Sacramento,1059961847229624328,"@gregkaras_ just stop it right now. Different night, different state. Same gorgeous gold guitar, same awesome dude killing that solo. You are unreal. #andygrammer… https://www.instagram.com/p/Bp28ci4BhKt/?utm_source=ig_twitter_share&amp;igshid=1v3bjketmfzjz",2018-11-07 00:12:52+00:00,#andygrammer,tahoegirl63,@GregKaras_,0,0,https://twitter.com/tahoegirl63/status/1059961847229624328,0,"@gregkaras_ just stop it right now. Different night, different state. Same gorgeous gold guitar, same awesome dude killing that solo. You are unreal. #andygrammer… "
5994,Sacramento,1059961892431634432,Exercise your right to vote today then exercise your right to $1 off your beer! Wear your sticker proudly! Election night only! . . . #federalist #visitsacramento #exploremidtown… https://www.instagram.com/p/Bp28t3aHnnD/?utm_source=ig_twitter_share&amp;igshid=m8t95kdkjdwz,2018-11-07 00:13:02+00:00,#federalist #visitsacramento #exploremidtown,FederalistAlley,,0,0,https://twitter.com/FederalistAlley/status/1059961892431634432,0,Exercise your right to vote today then exercise your right to $1 off your beer! Wear your sticker proudly! Election night only! . . . #federalist #visitsacramento #exploremidtown… 
898,Butte County,1059962123449745408,"Checks out 場所: Chico, California https://www.instagram.com/p/Bp280banwEI/?utm_source=ig_twitter_share&amp;igshid=1cg74coaupix8",2018-11-07 00:13:58+00:00,,Highwired,,0,0,https://twitter.com/Highwired/status/1059962123449745408,0,"Checks out 場所: Chico, California "
5993,Sacramento,1059962248368738305,Team James just voted @Valley Hi-North Laguna Library https://www.instagram.com/p/Bp284BknoW6NtqSr1jBqqrOaKFIzL1lJ9EJRNg0/?utm_source=ig_twitter_share&amp;igshid=fqupcrxc2tm0,2018-11-07 00:14:27+00:00,,Naro1975,,0,0,https://twitter.com/Naro1975/status/1059962248368738305,0,Team James just voted @Valley Hi-North Laguna Library 
5992,Sacramento,1059962717660942336,Lunch and prepping community IMPACT with Geoffrey Lopez!! Free Youth Basketball Camp Nov 19-21 on. http://iyfbasketballcamp.eventbrite.com to register. #commUNITY #forthekids… https://www.instagram.com/p/Bp29Dt3HyDX/?utm_source=ig_twitter_share&amp;igshid=11kipbl3d1p4u,2018-11-07 00:16:19+00:00,#commUNITY #forthekids,coachviliami,,0,0,https://twitter.com/coachviliami/status/1059962717660942336,0,Lunch and prepping community IMPACT with Geoffrey Lopez!! Free Youth Basketball Camp Nov 19-21 on.  to register. #commUNITY #forthekids… 
5991,Sacramento,1059963637480243202,"I may have have turned in my mail in ballot last Wednesday at Citrus Heights City Hall, you still get to drop it in and get your sticker. Happy I didn’t have to wait until today to be last… https://www.instagram.com/p/Bp29gYwhxLf/?utm_source=ig_twitter_share&amp;igshid=2c8apywg8rzd",2018-11-07 00:19:59+00:00,,LanakilaMiller,,0,0,https://twitter.com/LanakilaMiller/status/1059963637480243202,0,"I may have have turned in my mail in ballot last Wednesday at Citrus Heights City Hall, you still get to drop it in and get your sticker. Happy I didn’t have to wait until today to be last… "
5990,Sacramento,1059964308010999808,Clipper horse and blades repair and sharpening..... #dressagyehorse #horsebackriding #horseclippersacramento #horseshoes @Sharpening Tech https://www.instagram.com/p/Bp290AAhPje-EN8Op0clyZCM_DqlxOcT5Ozqfg0/?utm_source=ig_twitter_share&amp;igshid=1ubo3b2fg6sz7,2018-11-07 00:22:38+00:00,#dressagyehorse #horsebackriding #horseclippersacramento #horseshoes,sharpeningtech,,0,0,https://twitter.com/sharpeningtech/status/1059964308010999808,0,Clipper horse and blades repair and sharpening..... #dressagyehorse #horsebackriding #horseclippersacramento #horseshoes @Sharpening Tech 
5989,Sacramento,1059964502551212033,"@dougwayne85 with the best keytar solo of your life, epic stank face from @andygrammer, and watch for @tiasimonedotcom at the end! This band is my favorite thing. #andygrammer… https://www.instagram.com/p/Bp294BqhNu1/?utm_source=ig_twitter_share&amp;igshid=1crzutdt6dh5z",2018-11-07 00:23:25+00:00,#andygrammer,tahoegirl63,@andygrammer @tiasimonedotcom,0,0,https://twitter.com/tahoegirl63/status/1059964502551212033,0,"@dougwayne85 with the best keytar solo of your life, epic stank face from @andygrammer, and watch for @tiasimonedotcom at the end! This band is my favorite thing. #andygrammer… "
5988,Sacramento,1059966004565024768,"Celebrating “Halloween” today! (@Century 16 Greenback Lane and XD - @cinemark in Sacramento, CA)",2018-11-07 00:29:23+00:00,,MrJetVoodoo,@Cinemark,0,0,https://twitter.com/MrJetVoodoo/status/1059966004565024768,0,"Celebrating “Halloween” today! (@Century 16 Greenback Lane and XD - @cinemark in Sacramento, CA)"
