tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,day,hour,minute,during_fire,text_nourl,key_score,from_locations
,"Paradise, CA",1.0577869413940388e+18,Chico CA Wed Oct 31st PM Forecast: TONIGHT Mostly Clear Lo 57 THURSDAY Mostly Sunny Hi 83,2018-11-01 00:10:34+00:00,,_ChicoCA,,0,0,https://twitter.com/_ChicoCA/status/1057786941394038784,1,0,10,0,Chico CA Wed Oct 31st PM Forecast: TONIGHT Mostly Clear Lo 57 THURSDAY Mostly Sunny Hi 83,0,"Chico, CA"
,"Paradise, CA",1.0577873725557801e+18,"Happy Halloween from Harry Potter and Danaerys Targaryan! @Chico, California https://www.instagram.com/p/BpnfvFogWcyhAHrutS3Tt8joMHvj0khClls1CU0/?utm_source=ig_twitter_share&amp;igshid=w7q170tpbeb",2018-11-01 00:12:17+00:00,,itoddsmama,,0,0,https://twitter.com/itoddsmama/status/1057787372555780096,1,0,12,0,"Happy Halloween from Harry Potter and Danaerys Targaryan! @Chico, California ",0,"Chico, CA"
,"Paradise, CA",1.0577875449835889e+18,"happy halloween • @Chico, California https://www.instagram.com/p/Bpnf0zMFgpirkCpw4KFLfx45YmiHCDpmQgXRW00/?utm_source=ig_twitter_share&amp;igshid=1cl3uyf9hgxu4",2018-11-01 00:12:58+00:00,,hannahmariexx_,,0,0,https://twitter.com/hannahmariexx_/status/1057787544983588864,1,0,12,0,"happy halloween • @Chico, California ",0,"Chico, CA"
,"Oroville, CA",1.0577889917670195e+18,Just posted a video @Ukla Studios https://www.instagram.com/p/BpngiyvgasJ/?utm_source=ig_twitter_share&amp;igshid=znabylb6xm0,2018-11-01 00:18:43+00:00,,UKLA_Music,,0,0,https://twitter.com/UKLA_Music/status/1057788991767019526,1,0,18,0,Just posted a video @Ukla Studios ,0,"Gridley, CA"
,"Oroville, CA",1.05778922206353e+18,Just posted a video @Ukla Studios https://www.instagram.com/p/BpngorNASSi/?utm_source=ig_twitter_share&amp;igshid=1p2ljlnwywy8n,2018-11-01 00:19:37+00:00,,UKLA_Music,,0,0,https://twitter.com/UKLA_Music/status/1057789222063529984,1,0,19,0,Just posted a video @Ukla Studios ,0,"Gridley, CA"
,"Paradise, CA",1.0577892854018048e+18,"Jimmy is a little too buff for this costume... However now all three of our babes have worn it at one point in their lives #jimmybehrhart #jimmythewestie @Chico, California https://www.instagram.com/p/BpnguPTg3UX/?utm_source=ig_twitter_share&amp;igshid=d07z1mqo4nq1",2018-11-01 00:19:53+00:00,#jimmybehrhart #jimmythewestie,colleenmichelle,,0,0,https://twitter.com/colleenmichelle/status/1057789285401804801,1,0,19,0,"Jimmy is a little too buff for this costume... However now all three of our babes have worn it at one point in their lives #jimmybehrhart #jimmythewestie @Chico, California ",0,"Chico, CA"
,"Paradise, CA",1.0577898279180902e+18,"We take holidays serious at #Incrediwear @Chico, California https://www.instagram.com/p/Bpng9nDA0lZ/?utm_source=ig_twitter_share&amp;igshid=4gt93j5ob23f",2018-11-01 00:22:02+00:00,#Incrediwear,Javitherapper,,0,0,https://twitter.com/Javitherapper/status/1057789827918090240,1,0,22,0,"We take holidays serious at #Incrediwear @Chico, California ",0,"Chico, CA"
,"Paradise, CA",1.0577962200165704e+18,"Rock n Roll @Chico, California https://www.instagram.com/p/Bpnjx3hAHA0/?utm_source=ig_twitter_share&amp;igshid=1ok163g1rgf3s",2018-11-01 00:47:26+00:00,,Javitherapper,,0,0,https://twitter.com/Javitherapper/status/1057796220016570368,1,0,47,0,"Rock n Roll @Chico, California ",0,"Chico, CA"
,"Oroville, CA",1.0578003797383864e+18,"#JuneFire unofficial update: 550 Acres. 95% Contained*. #ButteCounty; Near Honcut, CA. ~55mi N of Sacramento, CA. See officials for safety info. May be incorrect; disclaimers in images.",2018-11-01 01:03:58+00:00,#JuneFire #ButteCounty,CaliFireBot,,0,0,https://twitter.com/CaliFireBot/status/1057800379738386432,1,1,3,0,"#JuneFire unofficial update: 550 Acres. 95% Contained*. #ButteCounty; Near Honcut, CA. ~55mi N of Sacramento, CA. See officials for safety info. May be incorrect; disclaimers in images.",0,"Oroville, CA"
,"Paradise, CA",1.0578088770502246e+18,"Happy Halloween @Chico, California https://www.instagram.com/p/BpnporagTG4/?utm_source=ig_twitter_share&amp;igshid=1wwtldzyxxsmw",2018-11-01 01:37:44+00:00,,isaias_calixto,,0,0,https://twitter.com/isaias_calixto/status/1057808877050224640,1,1,37,0,"Happy Halloween @Chico, California ",0,"Chico, CA"
,"Paradise, CA",1.0578113013832416e+18,"Happy Halloween everyone! From the archives: Coverage of Thrill the world in Chico, CA #ashtonboni #sanfranciscophotographer #dalycityphotographer #thrilltheworld #zombiemakeup… https://www.instagram.com/p/BpnqvdkgMqF/?utm_source=ig_twitter_share&amp;igshid=1owhrkfw7v9s6",2018-11-01 01:47:22+00:00,#ashtonboni #sanfranciscophotographer #dalycityphotographer #thrilltheworld #zombiemakeup,ashtonboni,,0,0,https://twitter.com/ashtonboni/status/1057811301383241729,1,1,47,0,"Happy Halloween everyone! From the archives: Coverage of Thrill the world in Chico, CA #ashtonboni #sanfranciscophotographer #dalycityphotographer #thrilltheworld #zombiemakeup… ",0,"Chico, CA"
,"Paradise, CA",1.057813484405248e+18,this is a pic of a happy blind Australian cattledog...Happy Halloween -link in bio . . . . . #flyinghorsedesigncom #instagood #nature #love #photooftheday #photography #photo #travel… https://www.instagram.com/p/Bpnrh8hFnqn/?utm_source=ig_twitter_share&amp;igshid=1vy5jkq9m0a4k,2018-11-01 01:56:02+00:00,#flyinghorsedesigncom #instagood #nature #love #photooftheday #photography #photo #travel,heywoodphotog,,0,0,https://twitter.com/heywoodphotog/status/1057813484405248000,1,1,56,0,this is a pic of a happy blind Australian cattledog...Happy Halloween -link in bio . . . . . #flyinghorsedesigncom #instagood #nature #love #photooftheday #photography #photo #travel… ,0,"Paradise, CA"
,Butte County,1.0578147277311754e+18,"Happy Halloween from Damien! WHOTEENEY!!! @Oroville, California https://www.instagram.com/p/BpnsTBNF_ZDK_arVKeY2_kgK_fJ0FJMP1THG-E0/?utm_source=ig_twitter_share&amp;igshid=14rgouyrwg3qg",2018-11-01 02:00:58+00:00,,SeanC111,,0,0,https://twitter.com/SeanC111/status/1057814727731175429,1,2,0,0,"Happy Halloween from Damien! WHOTEENEY!!! @Oroville, California ",0,"Oroville, CA"
,Butte County,1.0578177814193395e+18,"Daddy and daughter halloweening #halloween #halloweenmakeup @Oroville, California https://www.instagram.com/p/Bpntr-lg5pZ/?utm_source=ig_twitter_share&amp;igshid=sze2usvkawli",2018-11-01 02:13:07+00:00,#halloween #halloweenmakeup,jcquintana338,,0,0,https://twitter.com/jcquintana338/status/1057817781419339776,1,2,13,0,"Daddy and daughter halloweening #halloween #halloweenmakeup @Oroville, California ",0,"Oroville, CA"
,"Paradise, CA",1.0578206837266554e+18,Happy Halloween! #halloween #chambermusic @Wine Time https://www.instagram.com/p/BpnuzzpA9V-/?utm_source=ig_twitter_share&amp;igshid=1p58un15jgjsz,2018-11-01 02:24:39+00:00,#halloween #chambermusic,NStateSymphony,,0,0,https://twitter.com/NStateSymphony/status/1057820683726655488,1,2,24,0,Happy Halloween! #halloween #chambermusic @Wine Time ,0,"Chico, CA"
,"Paradise, CA",1.0578388698891224e+18,"Part Two : Ringmaster & Lion. Who is wrangling who? #Halloween #DogsOfHalloween #Lion #Ringmaster #Circus @Chico, California https://www.instagram.com/p/Bpn25jNBtB2/?utm_source=ig_twitter_share&amp;igshid=s72rkm942vi9",2018-11-01 03:36:54+00:00,#Halloween #DogsOfHalloween #Lion #Ringmaster #Circus,myohmeggy,,0,0,https://twitter.com/myohmeggy/status/1057838869889122304,1,3,36,0,"Part Two : Ringmaster & Lion. Who is wrangling who? #Halloween #DogsOfHalloween #Lion #Ringmaster #Circus @Chico, California ",0,"Chico, CA"
,"Paradise, CA",1.0578468342642442e+18,"Happy Halloween @Chico, California https://www.instagram.com/p/Bpn644rHZtt/?utm_source=ig_twitter_share&amp;igshid=1aqri07ozyi3k",2018-11-01 04:08:33+00:00,,jimbo3,,0,0,https://twitter.com/jimbo3/status/1057846834264244224,1,4,8,0,"Happy Halloween @Chico, California ",0,"Chico, CA"
,"Paradise, CA",1.057865254846251e+18,"Just posted a video @Chico, California https://www.instagram.com/p/BpoDRGfHVqr/?utm_source=ig_twitter_share&amp;igshid=81yp2cojh3xs",2018-11-01 05:21:45+00:00,,jimbo3,,0,0,https://twitter.com/jimbo3/status/1057865254846251008,1,5,21,0,"Just posted a video @Chico, California ",0,"Chico, CA"
,"Paradise, CA",1.0578678397497385e+18,"Finally felt better...in time to pick the kids up from school. Tried to stay home with Jess got me setup with makeup so we hit the #TreatStreet 場所: Helltown, California https://www.instagram.com/p/BpoEc3PHc-4/?utm_source=ig_twitter_share&amp;igshid=zn8gu3qxfi51",2018-11-01 05:32:01+00:00,#TreatStreet,Highwired,,0,0,https://twitter.com/Highwired/status/1057867839749738496,1,5,32,0,"Finally felt better...in time to pick the kids up from school. Tried to stay home with Jess got me setup with makeup so we hit the #TreatStreet 場所: Helltown, California ",0,"Paradise, CA"
