tweet_count,City,id,tweet_text,timestamp,hashtags,username,mentions,rewtweets,replies,link,day,hour,minute,during_fire,is-fire-related,text_nourl,key_score,from_locations,sent
366,"Paradise, CA",1.06E+18,"::paradise baby:: meet JD, the grandson of my good friend, Julie Rems Smario of @JulieRems Julie’s son is a firefighter and has been fighting the #campfire at Paradise since Nov 8th. Her… https://www.instagram.com/p/BqP3zF3Hljo/?utm_source=ig_twitter_share&amp;igshid=q22x7cwyd6xy",2018-11-16 16:31:06+00:00,#campfire,trekcass,@JulieRems,0,0,https://twitter.com/trekcass/status/1063469521145655297,16,16,31,1,1,"::paradise baby:: meet JD, the grandson of my good friend, Julie Rems Smario of @JulieRems Julie’s son is a firefighter and has been fighting the #campfire at Paradise since Nov 8th. Her…",2,"Paradise, CA",1
700,"Paradise, CA",1.06E+18,"¡Coño! #CampFire @Chico, California https://www.instagram.com/p/Bp-KaGUg3Ji/?utm_source=ig_twitter_share&amp;igshid=1ud5lfs0zsfub",2018-11-09 19:29:06+00:00,#CampFire,VXO,,0,0,https://twitter.com/VXO/status/1060977601840377857,9,19,29,1,1,"¡Coño! #CampFire @Chico, California",1,"Chico, CA",1
494,"Paradise, CA",1.06E+18,. . . . . #photography #instapics #photographersofig #pictures #artistic #creative #creation #writersofig #writerswrite #writersofinstagram #writinglife #wordgasm #words #selfpublishing… https://www.instagram.com/p/BqIE4pfBDwU/?utm_source=ig_twitter_share&amp;igshid=c7rlejuw4ihn,2018-11-13 15:51:31+00:00,#photography #instapics #photographersofig #pictures #artistic #creative #creation #writersofig #writerswrite #writersofinstagram #writinglife #wordgasm #words #selfpublishing,sidewayseightp,,0,0,https://twitter.com/sidewayseightp/status/1062372395762114560,13,15,51,1,0,. . . . . #photography #instapics #photographersofig #pictures #artistic #creative #creation #writersofig #writerswrite #writersofinstagram #writinglife #wordgasm #words #selfpublishing…,0,"Chico, CA",1
53,"Paradise, CA",1.07E+18,.@Stucam7771 nailed it! The man in the White House is an evil genius moron. Evil = racist Genius = plays the media masterfully Moron = says stuff like Finland doesn't have forest fires… https://www.instagram.com/p/Bqj7qzTHvkO/?utm_source=ig_twitter_share&amp;igshid=12c2v7oe5vjbn,2018-11-24 11:29:40+00:00,,XLComedy,@stucam7771,1,0,https://twitter.com/XLComedy/status/1066292766517321728,24,11,29,1,1,.@Stucam7771 nailed it! The man in the White House is an evil genius moron. Evil = racist Genius = plays the media masterfully Moron = says stuff like Finland doesn't have forest fires…,0,"Paradise, CA",1
201,"Oroville, CA",1.06E+18,‘Merurica... #voted #uklastudios #uklapictures @Ukla Studios https://www.instagram.com/p/Bp3JG-2gCnE/?utm_source=ig_twitter_share&amp;igshid=1m66k3jqszcty,2018-11-07 02:02:51+00:00,#voted #uklastudios #uklapictures,UKLA_Music,,0,0,https://twitter.com/UKLA_Music/status/1059989527442481153,7,2,2,0,0,‘Merurica... #voted #uklastudios #uklapictures @Ukla Studios,0,"Gridley, CA",1
429,"Paradise, CA",1.06E+18,"“And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.” Philippians 4:7 NIV #firefighter #calfire #firstresponders… https://www.instagram.com/p/BqLq1xMFYy5/?utm_source=ig_twitter_share&amp;igshid=o8am3qg5wndy",2018-11-15 01:20:54+00:00,#firefighter #calfire #firstresponders,AaronComfortDog,,1,0,https://twitter.com/AaronComfortDog/status/1062878073543122944,15,1,20,1,1,"“And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.” Philippians 4:7 NIV #firefighter #calfire #firstresponders…",2,"Chico, CA",1
,Butte County,1.06E+18,“Don't let yesterday take up too much of today.” #myjourney #findinginnerpeace #newnormal #medicalnegligence #ileostomy #ileostomybag #ileostomysurgery #fistula #blockages #lavages… https://www.instagram.com/p/BpoMXtLn_TH/?utm_source=ig_twitter_share&amp;igshid=8m09618rb66a,2018-11-01 06:41:15+00:00,#myjourney #findinginnerpeace #newnormal #medicalnegligence #ileostomy #ileostomybag #ileostomysurgery #fistula #blockages #lavages,bridgit724,,1,0,https://twitter.com/bridgit724/status/1057885259985874944,1,6,41,0,0,“Don't let yesterday take up too much of today.” #myjourney #findinginnerpeace #newnormal #medicalnegligence #ileostomy #ileostomybag #ileostomysurgery #fistula #blockages #lavages…,0,"Oroville, CA",1
341,"Paradise, CA",1.06E+18,"“Estamos Livres”diz o pastor ao repórter,e foi aí que fixei meus olhos na tv e a partir deste momento,entendi a sua fala,e veio a reportagem que mais me chamou a atenção e me… https://www.instagram.com/p/BqROnaXh6CA/?utm_source=ig_twitter_share&amp;igshid=duv6tfyyoax4",2018-11-17 05:09:47+00:00,,lclaudiovianna,,0,0,https://twitter.com/lclaudiovianna/status/1063660448124424192,17,5,9,1,0,"“Estamos Livres”diz o pastor ao repórter,e foi aí que fixei meus olhos na tv e a partir deste momento,entendi a sua fala,e veio a reportagem que mais me chamou a atenção e me…",0,nolocationfound,1
185,"Paradise, CA",1.07E+18,"“From the ashes, a fire shall be woken, A light from the shadows shall spring…” — J.R.R. Tolkien Wayne and i drove up just to the edge of the ashes and seeing lone horses… https://www.instagram.com/marcellarenai/p/Bqa53TAhdQE/?utm_source=ig_twitter_share&amp;igshid=1f2wikhlhyst5",2018-11-20 23:28:54+00:00,,Marcella_renai,,0,0,https://twitter.com/Marcella_renai/status/1065024214061731841,20,23,28,1,1,"“From the ashes, a fire shall be woken, A light from the shadows shall spring…” — J.R.R. Tolkien Wayne and i drove up just to the edge of the ashes and seeing lone horses…",1,"Chico, CA",1
118,"Paradise, CA",1.07E+18,"“I can do all this through him who gives me strength.” Philippians 4:13 #buttecounty #firefighter #calfire #campfire2018 #strength #hope #love #faith #jesuschrist @Chico, California https://www.instagram.com/p/BqfPAvzF9X7/?utm_source=ig_twitter_share&amp;igshid=ci4093zz6x97",2018-11-22 15:42:34+00:00,#buttecounty #firefighter #calfire #campfire2018 #strength #hope #love #faith #jesuschrist,AaronComfortDog,,0,0,https://twitter.com/AaronComfortDog/status/1065631634869927937,22,15,42,1,1,"“I can do all this through him who gives me strength.” Philippians 4:13 #buttecounty #firefighter #calfire #campfire2018 #strength #hope #love #faith #jesuschrist @Chico, California",3,"Chico, CA",1
